author,publicationPlace,publicationYear,sourceLanguage,targetLanguage
"Sanderson, Jane",Kraków,2021,eng,pol
"Mackiewicz, Józef",,2021,pol,hun
"postać Johna Constantina stworzyli Alan Moore, Steve Bissette, John Totleben, Jamie Delano i John Ridgeway",Warszawa,2021,eng,pol
"Szary, Adrian",Wieluń,2021,pol,pol
rysunki CJ Cannon,Warszawa,2021,eng,pol
"Lusenti, Natascha",Kraków,2021,ita,pol
"Ebert, Sabine",Katowice,2021,ger,pol
"Ebert, Sabine",Katowice,2021,ger,pol
"Ebert, Sabine",Katowice,2021,ger,pol
"Baker, Chandler",Katowice,2021,eng,pol
"Markowski, Michał Paweł",Stockholm,2017,pol,swe
"Rice, Morgan",,2018,eng,pol
"Leblanc, Maurice",,2020,fre,pol
"Leblanc, Maurice",,2020,fre,pol
"Roca, Elisenda",Katowice,2021,cat,pol
"Roca, Elisenda",Katowice,2021,cat,pol
"Bunda, Martyna",Praha,2021,pol,cze
"Chien Chow Chine, Aurélie",Katowice,2021,fre,pol
"Mezrich, Ben",Warszawa,2021,eng,pol
"Domosławski, Artur",Amsterdam,2013,pol,dut
"Prus, Bolesław",Amsterdam,2015,pol,dut
"Osorio-Mrożek, Susana",Kraków,2021,,pol
"Lark, Sarah",Katowice,2021,,
"Lark, Sarah",Katowice,2021,ger,pol
"Lark, Sarah",Katowice,2021,ger,pol
"Robson, Jennifer",Kraków,2021,eng,pol
[tłumaczenie: Natalia Mętrak-Ruda],Novara,2021,,pol
[tłumaczenie: Natalia Mętrak-Ruda],,,,pol
"Bunda, Martyna",Berlin,2019,pol,ger
"Iwaszkiewicz, Jarosław",,2021,pol,chi
"Iwaszkiewicz, Jarosław",,2021,pol,chi
"Iwaszkiewicz, Jarosław",,2021,pol,chi
"Baudet, Stephanie",Piaseczno,2021,eng,pol
"Gooden, Philip.",Piaseczno,2021,eng,pol
"Estes, Kurtis Lee",Łódź,2021,eng,pol
"Deutsch, Stacia",Łódź,2021,eng,pol
"Deutsch, Stacia",Łódź,2021,eng,pol
"Turner, Brian",Radom,2015,eng,pol
[sudarė ir parengė Ona Dilytė-Čiurinskienė].,Vilnius,2020,lat,lit
"Hund, Olga",Banská Bystrica,2020,pol,slo
"Jimenez, Abby",Warszawa,2021,eng,pol
"Andersen, Yvonne",Warszawa,2021,nob,pol
"Andersen, Yvonne",Warszawa,2021,nob,pol
"Wodecka, Margarita",Sieradz,2021,rus,pol
"Di Corte, Bella",Warszawa,2021,eng,pol
"Podgórska, Anna",Ostrava,2014,pol,cze
"Podgórska, Anna",Ostrava,2014,pol,cze
"Podgórska, Anna",Ostrava,2014,pol,cze
[adaptacja na podstawie oryginalnego tekstu Williama Shakespeare'a,Piaseczno,2021,eng,pol
"Buchanan, Erin",Warszawa,2021,ger,pol
"Julian, Leslie",Warszawa,2021,ger,pol
"Read, Birgit",Warszawa,2021,ger,pol
"Julian, Leslie",Warszawa,2021,ger,pol
"Kristiansen, Else Berit",Warszawa,2021,nor,pol
"Kristiansen, Else Berit",Warszawa,2021,nor,pol
"Lem, Stanisław",,2021,pol,dan
"March, Meghan",Gliwice,2021,eng,pol
"Glück, Louise",Kraków,2021,eng,pol
"Brown, Ryk",Piaseczno,2021,eng,
"Tarakson, Stella",Piaseczno,2021,eng,
"Tarakson, Stella",Piaseczno,2021,eng,
"Vesper, Inga",Warszawa,2021,eng,pol
"Lem, Stanisław",Moskva,2021,pol,rus
"Jackson, A. L.",Warszawa,2021,eng,pol
"Beckett, Simon",Warszawa,2021,eng,pol
"March, Meghan",Gliwice,2021,eng,pol
"Yoon, David",Poznań,2021,eng,pol
"Yoon, Nicola",Poznań,2021,eng,pol
"Yalom, Irvin D.",Warszawa,2021,eng,pol
"James, Marlon",Warszawa,2021,eng,pol
"Nesser, Håkan",Warszawa,2021,swe,pol
"Ginczanka, Zuzanna",Kiev,2020,pol,ukr
"Sapkowski, Andrzej",Moskva,2020,pol,rus
"Komuda, Jacek",Moskva,2021,pol,rus
"Miszczuk, Katarzyna Berenika",Moskva,2021,pol,rus
"Miszczuk, Katarzyna Berenika",Moskva,2021,pol,rus
"Raabe, Melanie",Warszawa,2020,ger,pol
"Tudor, C. J.",Warszawa,2020,eng,pol
"Donaldson, Julia",Warszawa,2021,eng,pol
"Reymont, Władysław Stanisław",København,2019,pol,dan
"Reymont, Władysław Stanisław",København,2019,pol,dan
"Reymont, Władysław Stanisław",København,2019,pol,dan
"Reymont, Władysław Stanisław",København,2019,pol,dan
"Reymont, Władysław Stanisław",København,2019,pol,dan
"Bouvier, Nicolas",Warszawa,2021,fre,pol
"Lupton, Rosamund",Warszawa,2020,eng,
"Keegan, Nicola",Warszawa,2020,eng,
"Nesser, Håkan",Warszawa,2021,swe,pol
"Tudor, C. J.",Warszawa,2021,eng,pol
"Locke, Phoebe",Warszawa,2021,eng,pol
"Moreau, Christiana",Warszawa,2021,fre,pol
"Jakowlewa, Julija",Warszawa,2021,rus,pol
"De la Motte, Anders",Warszawa,2021,swe,pol
"Odyniec, Antoni Edward",Minsk,2020,pol,bel
"Sapkowski, Andrzej",Amsterdam,,pol,dut
"Sapkowski, Andrzej",Amsterdam,2020,pol,dut
"Sapkowski, Andrzej",Amsterdam,,pol,dut
"Callihan, Kristen",Warszawa,2021,eng,pol
"Sapkowski, Andrzej",Moskva,2021,pol,rus
"Sapkowski, Andrzej",Amsterdam,2020,pol,dut
"Sapkowski, Andrzej",Amsterdam,,pol,dut
"Sapkowski, Andrzej",Amsterdam,,pol,dut
"Sapkowski, Andrzej",Amsterdam,2021,pol,dut
"Sasson, Jean P.",Warszawa,2020,eng,
"Bonilla, Rocio",Poznań,2021,cat,pol
"Moyes, Jojo",Warszawa,2020,eng,
"Rovira Celma, Álex",Warszawa,2020,spa,pol
"Twardoch, Szczepan",Žilina,2021,pol,slo
"Bjärbo, Lisa",Warszawa,2020,,
"Bjärbo, Lisa",Warszawa,2021,swe,pol
"Bjärbo, Lisa",Warszawa,2020,,
"Bjärbo, Lisa",Warszawa,2020,,
"Nesser, Håkan",Warszawa,2021,swe,pol
"Larsson, Stieg",Warszawa,2021,swe,pol
Mohlin & Nyström,Warszawa,2021,swe,pol
"Gerasik, Marta",Kraków,2021,,pol
"Bjärbo, Lisa",Warszawa,2020,,
"Klicka, Barbara",,2021,pol,swe
"Barchan, Artur",Kraków,2021,pol,pol
"Edwards, Rosy",Warszawa,2020,eng,
"Scott, Ginger",Warszawa,2020,eng,
"Sapkowski, Andrzej",São Paulo,2015,pol,por
"Sapkowski, Andrzej",Porto Salvo,2019,pol,por
"Sapkowski, Andrzej",Porto Salvo,2020,pol,por
"Sapkowski, Andrzej",Porto Salvo,2020,pol,por
"Sapkowski, Andrzej",São Paulo,2014,pol,por
"Sapkowski, Andrzej",São Paulo,2016,pol,por
"Sapkowski, Andrzej",São Paulo,2017,pol,por
"Harper, Jane",Warszawa,2021,eng,pol
"Larsson, Stieg",Warszawa,2021,swe,pol
"Dacre Stoker, J. D. Barker",Warszawa,2020,eng,pol
"De la Motte, Anders",Warszawa,2020,swe,pol
"Atkinson, Kate",Warszawa,2021,eng,pol
"Nesser, Håkan",Warszawa,2021,swe,pol
"Zeman, Bogusław",Bratislava,2016,pol,slo
"Tokarczuk, Olga",Amadora,,pol,por
"Tokarczuk, Olga",São Paulo,2021,pol,por
"Tokarczuk, Olga",Amadora,2019,pol,por
"Sapkowski, Andrzej",Porto Salvo,2021,pol,por
"Lem, Stanisław",Vilnius,2021,pol,lit
"Lec, Stanisław Jerzy",Milano,2015,pol,ita
"Wirtemberska, Maria Anna",Venezia,2021,pol,ita
"Hardinge, Frances",Warszawa,,eng,pol
"Enriquez, Mariana",Warszawa,2021,spa,pol
"Baccalario, Pierdomenico",Warszawa,2020,ita,
"Searcy, Amanda",Warszawa,2020,eng,
"Aaron, Celia",Oświęcim,2021,eng,pol
"Geissinger, J. T.",Oświęcim,2021,eng,pol
"Lovell, L. P.",Oświęcim,2021,eng,pol
"Reilly, Cora",Oświęcim,2021,eng,pol
"Sienkiewicz, Henryk",Madrid,2020,pol,spa
"Sienkiewicz, Henryk",Madrid,2021,pol,spa
"Sienkiewicz, Henryk",Madrid,2021,pol,spa
"Lovell, L. P.",Oświęcim,2021,eng,pol
[opracowanie] John Bierhorst.,Warszawa,2020,eng,
"Skórczewski, Dariusz","Rochester, NY",2020,pol,eng
"Dziubak, Emilia",Barcelona,,pol,spa
"Efron, Georgij",Szczytno,2021,rus,pol
"Montgomery, Lucy Maud",Kraków,2013,eng,pol
"Serbource, Christine",Novara,2021,,pol
"Serbource, Christine",Novara,2021,,pol
"Kwiatkowska, Zdzisława",Konin,2021,pol,pol
przekład i redakcja Henryk Cierniak.,Katowice,2019,eng,pol
wybór i opracowanie Mirosława Michalska-Suchanek i Agnieszka Lenart.,Katowice,2020,rus,pol
"Tokarczuk, Olga",Amadora,2020,pol,por
"Glück, Louise",Kraków,2021,eng,pol
"Fox, Kennedy",Warszawa,2021,eng,pol
"Jackson, A. L.",Warszawa,2021,eng,pol
"Kusanagi, Mizuho",Warszawa,2020,jpn,pol
"Sapkowski, Andrzej",Amsterdam,2020,pol,dut
"Sapkowski, Andrzej",Amsterdam,2020,pol,dut
"Twardoch, Szczepan",Amsterdam,2021,pol,dut
"Tokarczuk, Olga",Amsterdam,,pol,dut
Nickeolodeon.,Warszawa,2021,eng,pol
"Akasaka, Aka",Warszawa,2020,jpn,pol
"Pimentel, Rui",Warszawa,2021,por,pol
"Bechdel, Alison",Warszawa,2021,eng,pol
"Morishita, Makoto",Warszawa,2020,jpn,pol
scenariusz Cullen Bunn i Brian Hurtt,Warszawa,2021,eng,pol
"Prus, Bolesław",Den Haag,2020,pol,dut
"Twardoch, Szczepan",Amsterdam,2021,pol,dut
"Dukaj, Jacek",,2021,pol,slv
"Krynicki, Ryszard",,2021,pol,fre
"Lipińska, Blanka",Paris,2021,pol,fre
"White, Kiersten",Łódź,2021,eng,pol
Gipi,Warszawa,2021,ita,pol
"Piskor, Ed",Warszawa,2021,eng,pol
"Lemire, Jeff",Warszawa,2021,eng,pol
"Bechdel, Alison",Warszawa,2021,eng,pol
"Nishi, Osamu",Warszawa,2020,jpn,pol
"Hagino, Makoto",Warszawa,2020,jpn,pol
[ilustracje: Mar Fandos].,Łódź,2021,eng,pol
"Scott Cawthon, Andrea Waggener, Elley Cooper, Kelly Parra",Łódź,2021,eng,pol
"herausgegeben von Alexander Friedrich, Alfred Gall, Petra Gehring, Peter Oliver Loew und Yvonne Pörzgen.",Wiesbaden,2021,eng,ger
"Lem, Stanisław",Moskva,2021,pol,rus
"Lem, Stanisław",Moskva,2021,pol,rus
"Lem, Stanisław",Moskva,2021,pol,rus
"Lem, Stanisław",Moskva,2021,pol,rus
"Lem, Stanisław",Moskva,2021,pol,rus
"Lem, Stanisław",Moskva,2021,pol,rus
"Lem, Stanisław",Moskva,2020,pol,rus
"Lem, Stanisław","Cambridge, MA",2021,pol,eng
"Lem, Stanisław",São Paulo,2021,pol,por
"Chadanowicz, Andrej",Sejny,2021,bel,pol
"Cisneros, Sandra",Gdańsk,2020,eng,pol
"Ni Dhomhnaill, Nuala",Kraków,,eng,pol
"Tokarczuk, Olga",Paris,2021,pol,fre
"Tokarczuk, Olga",Paris,2021,pol,fre
"Tokarczuk, Olga",Paris,2021,pol,fre
przekład: Marta Szelichowska.,Piaseczno,2021,eng,
"Franko, Iwan",Konin,2021,ukr,pol
"Lis-Markiewicz, Przemysław",Konin,2021,pol,ukr
"Mitzner, Piotr",Warszawa,2021,fre,pol
"Langan, Sarah",Łódź,2021,eng,pol
Nagabe,Warszawa,2021,jpn,pol
"Kuwabara, Taku",Warszawa,,jpn,pol
"Kuwabara, Taku",Warszawa,,jpn,pol
"Łoboda, Rafał",Kołobrzeg,2021,,eng
"Akasaka, Aka",Warszawa,,jpn,pol
"Akasaka, Aka",Warszawa,2021,jpn,pol
"Mills, Alan",Warszawa,2021,eng,pol
"Hagino, Makoto‪",Warszawa,,jpn,pol
Nagabe,Warszawa,2020,jpn,pol
"Gallico, Paul",Warszawa,2020,eng,pol
"Akasaka, Aka",Warszawa,2020,jpn,pol
Nisioisin,Warszawa,,jpn,pol
"Verne, Jules",Ruda Śląska,2021,fre,pol
"Verne, Jules",Ruda Śląska,2021,fre,pol
"Williams, Jen",Łódź,2021,eng,pol
"Mashima, Hiro",Warszawa,,jpn,pol
"Irie, Aki",Warszawa,2020,jpn,pol
"Young, Samantha",Warszawa,2021,eng,pol
"Honna, Wakou",Warszawa,2021,jpn,pol
"Tanaka, Strike",Warszawa,2021,jpn,pol
"Aida, Saki",Warszawa,,jpn,pol
"Honna, Wakou",Warszawa,,jpn,pol
"Nishi, Osamu",Warszawa,,jpn,pol
"Kusanagi, Mizuho",Warszawa,,jpn,pol
"Ouředník, Patrik",Sejny,2021,cze,pol
"Cawthon, Scott",Łódź,2021,,
"Bechdel, Alison",Warszawa,2021,eng,pol
"Kusanagi, Mizuho",Warszawa,2021,jpn,pol
"Morishita, Makoto",Warszawa,,jpn,pol
"Morishita, Makoto",Warszawa,2021,jpn,pol
"Hagino, Makoto",Warszawa,,jpn,pol
"Hagino, Makoto",Warszawa,2021,jpn,pol
"Akasaka, Aka",Warszawa,2021,jpn,pol
"Juster, Norton",Warszawa,2021,eng,pol
"Izumi, Ichimon",Warszawa,2021,jpn,pol
"Kuwabara, Taku",Warszawa,2020,jpn,pol
"Alciati, Andrea",Warszawa,2021,lat,pol
[redakcja i tłumaczenie: Karolina Tchórzewska].,Macierzysz,2021,,pol
[redakcja i tłumaczenie: Karolina Tchórzewska].,Macierzysz,2021,,pol
[redakcja i tłumaczenie: Karolina Tchórzewska].,Macierzysz,2021,,pol
[redakcja i tłumaczenie: Karolina Tchórzewska].,Macierzysz,2021,,pol
[redakcja i tłumaczenie: Karolina Tchórzewska].,Macierzysz,2021,,pol
[redakcja i tłumaczenie: Karolina Tchórzewska].,Macierzysz,2021,,pol
"Brown, Janelle",Warszawa,2021,eng,pol
"Skeslien Charles, Janet",Kraków,2021,eng,pol
"Inudo, Chie",Warszawa,,jpn,pol
"Morimi, Tomihiko",Warszawa,,jpn,pol
"Shinkai, Makoto",Warszawa,2021,jpn,pol
"Mayuzuki, Jun",Warszawa,2021,jpn,pol
Nisioisin,Warszawa,2021,jpn,pol
"Mori, Kaoru",Warszawa,2021,jpn,pol
"Konishi, Asuka",Warszawa,,jpn,pol
AidaIro,Warszawa,,jpn,pol
"Irie, Aki",Warszawa,2020,jpn,pol
Fujita,Warszawa,2020,jpn,pol
"Konishi, Asuka",Warszawa,2020,jpn,pol
Fujita,Warszawa,,jpn,pol
"Mayuzuki, Jun",Warszawa,,jpn,pol
"Yamazaki, Kore",Warszawa,2021,jpn,pol
AidaIro,Warszawa,2021,jpn,pol
AidaIro,Warszawa,,jpn,pol
AidaIro,Warszawa,2021,jpn,pol
"Nishi, Osamu",Warszawa,,jpn,pol
"Nishi, Osamu",Warszawa,2021,jpn,pol
"Kusanagi, Mizuho",Warszawa,,jpn,pol
"Irie, Aki",Warszawa,,jpn,pol
"Dee, Barbara",Warszawa,2013,eng,pol
