author,publicationPlace,publicationYear,sourceLanguage,targetLanguage
"Balak, Sanlaville, Vivès",Katowice,2022,fre,pol
"LaValle, Victor",Warszawa,2022,eng,pol
"Lindgren, Astrid",Poznań,2020,swe,pol
"Lem, Stanisław",Moskva,2020,pol,rus
"Lem, Stanisław",,2021,pol,chi
"Kołomycka, Berenika",,2019,pol,eng
"Stark, Ulf",Poznań,2018,swe,pol
"Stark, Ulf",Poznań,2013,swe,pol
"Stark, Ulf",Poznań,2015,swe,pol
"Susso, Eva",Poznań,2020,swe,pol
"Araki, Hirohiko",Mierzyn,2024,jpn,pol
"Preston, Natasha",Łódź,2023,eng,pol
"Gonzales, Sophie",Białystok,2023,eng,pol
"Toulmé, Fabien",Katowice,2020,fre,pol
"Tagore, Rabindranath",Warszawa,2021,ben,pol
"Van Hamme, Jean",Szczecin,2019,fre,pol
"Kent, Jane.",Ożarów Mazowiecki,2023,eng,pol
"Martins, Vitor",Warszawa,2023,por,pol
"Scott Cawthon, Elley Cooper, Carly Anne West",Łódź,2023,eng,pol
"Sapkowski, Andrzej",Milano,2022,pol,ita
"Scheunemann, Frauke",Katowice,2022,ger,
"Kijanowska, Marianna",Gdańsk,2022,ukr,pol
"Gordon, Noah",Katowice,2022,eng,
"Abdullah, Hassanal",Wrocław,2021,eng,eng
"Rubio, Mary",Warszawa,2023,eng,pol
"Dickens, Charles",Warszawa,2021,eng,pol
"Graves, Robert",Warszawa,2022,eng,pol
"Masterton, Graham",Warszawa,2022,eng,pol
Adachitoka,Warszawa,2021,jpn,pol
"Goscinny, René",Warszawa,2023,fre,pol
"Dostojewski, Fiodor",Kraków,2023,rus,pol
"Grabowski, Andrzej Marek",Minsk,2020,pol,bel
"Kipling, Rudyard",Lublin,2023,eng,pol
"Nusinsky-Shmuilov, Inna",Toronto,2020,eng,pol
"Cordurié, Sylvain",Warszawa,2023,fre,pol
"Baudet, Stephanie",Piaseczno,2021,eng,
"Backman, Fredrik",Katowice,2021,swe,
"Ingelman-Sundberg, Catharina",Katowice,2021,swe,
"Chattam, Maxime",Katowice,2021,fre,
"Kava, Alex",Warszawa,2022,eng,pol
"Thompson, Kelly",Warszawa,2024,eng,pol
"Dollo, Xavier",Warszawa,2024,fre,pol
"Keeland, Vi",Białystok,2021,eng,pol
"Yamane, Ayano",Gołuski,,jpn,pol
"Ogeretsu, Tanaka",Gołuski,2022,jpn,pol
"Ogeretsu, Tanaka",Gołuski,2022,jpn,pol
"Le Carre, Georgia",Białystok,2021,eng,pol
"Butchart, Pamela",Warszawa,2022,eng,pol
"Collodi, Carlo",Konin,2021,,
"Jean, Emiko",Warszawa,2022,eng,pol
"Shechter, Jakov",Warszawa,2022,rus,pol
"Jodorowsky, Alejandro",Łódź,2022,fre,pol
sudarytojas Bartosz Połoński,Vilnius,2023,lit,lit
"Maas, Sarah J.",Warszawa,2024,eng,pol
"Hill, Susan",Poznań,2022,eng,pol
"[teksty komentarzy: Bożena Murakami, Beata Romanowicz",Kraków,2021,jpn,pol
"Gornichec, Genevieve",Białystok,2022,eng,pol
"Volmert, Julia",Kielce,2022,ger,pol
"Mull, Brandon",Warszawa,2022,eng,pol
"Kawamoto, Homura",Warszawa,2023,jap,pol
"Tagore, Rabindranath",Warszawa,2021,ben,pol
"Sterling, Isabel",Poznań,2020,eng,pol
"Alsberg, Sasha",Poznań,2020,eng,pol
"McKinty, Adrian",Warszawa,2022,eng,pol
Donny Cates fabuła - scenariusz,Warszawa,2021,eng,pol
"Breene, K. F.",Oświęcim,2022,eng,pol
"Bałutowska, Urszula",,2021,,eng
"Jagoda, Zenon",Kraków,2021,,
"Andrews, V. C.",Warszawa,2014,eng,pol
"Andrews, V. C.",Warszawa,2015,eng,pol
"Minier, Bernard",Poznań,2021,fre,pol
przekład Maurycy Mann,Warszawa,2023,spa,pol
"Głowińska, Anita",Poznań,2023,pol,eng
"Schneider, Liane",Poznań,2023,ger,pol
"Schürmann, Susanne",Poznań,2023,,
"Melling, David",Warszawa,2023,eng,pol
"Bufalino, Gesualdo",Kraków,2023,ita,pol
"Beckett, Simon",Warszawa,2022,eng,
Karensac,Warszawa,2023,fre,pol
"Widmark, Martin",Poznań,2016,swe,pol
"Stewart, Andrea",Lublin,2023,eng,pol
"Widmark, Martin",Poznań,2017,,
"Parvela, Timo",Warszawa,2023,fin,pol
"Reid, Taylor Jenkins",Poznań,2022,eng,pol
"Widmark, Martin",Poznań,2020,swe,pol
"Widmark, Martin",Poznań,2018,swe,pol
"Drnaso, Nick",Warszawa,2023,eng,pol
"Punter, Russell",Warszawa,2023,eng,pol
"Buchanan, Erin",Warszawa,2021,ger,pol
"Julian, Leslie",Warszawa,2021,ger,pol
"Perfumo, Cristian",,2023,spa,pol
"Orwell, George",Konin,2021,eng,pol
"Stark, Ulf",Poznań,2020,swe,pol
"Stark, Ulf",Poznań,2013,swe,pol
"Lagercrantz, Rose",Poznań,2020,swe,pol
"Murail, Marie-Aude",Warszawa,2022,fre,pol
"Mühle, Jörg",Warszawa,2023,ger,pol
"Riley, Lucinda",Warszawa,2022,eng,pol
"Piątkowska, Renata",Paris,2022,pol,fre
"Hesse, Hermann",Poznań,2021,ger,pol
"Conder, Michelle",Warszawa,2021,eng,pol
"Miszyk-Miński, Michał Adam",Kraków,2023,pol,ukr
"Jones, Amo",Oświęcim,2023,eng,pol
"Garrigue, Roland",Warszawa,2021,fre,pol
"Tolkien, J. R. R.",Poznań,2023,eng,pol
[t’ekst’i] Ketevan K’ints’urashvili,Wrocław,2018,,geo
"Sapkowski, Andrzej",New York,2022,pol,eng
"Sapkowski, Andrzej",Praha,2015,pol,slo
"Våhlund, Elias",Katowice,2022,swe,pol
"Christie, Agatha",Wrocław,2023,eng,pol
"Jennings, Sharon",Katowice,2023,eng,pol
"Auer, Margit",Katowice,2023,ger,pol
"Rogerson, Margaret",Oświęcim,2023,eng,pol
"Hayashida, Kyū",Warszawa,,jpn,pol
"Luff, Nathan",Warszawa,2023,eng,pol
"[autorzy: dr Silvia Bencivelli, dr Piero Genovesi, dr Luca Pagani, de Chiara Segré, Andrea Vico",Warszawa,2023,eng,pol
"Frennstedt, Tina",Kraków,2023,swe,pol
"Wells, H. G.",Warszawa,2023,eng,pol
"Gaiman, Neil",Warszawa,2015,eng,pol
Cosey,Szczecin,2021,fre,pol
"Herzog, Werner",Warszawa,2023,ger,pol
"Vance, William",Szczecin,2022,fre,pol
"Chattam, Maxime",Katowice,2020,fre,pol
"Green, Henry",Wrocław,2023,eng,pol
"Vance, William",Szczecin,2022,fre,pol
"Lévy, Marc",Katowice,2023,fre,pol
"Carter, Chris",Katowice,2024,eng,pol
"Vigan, Delphine de",Katowice,2024,fre,pol
"Hickman, Jonathan",Warszawa,,eng,pol
"Katō, Kazue",Warszawa,2016,jpn,pol
"Doyle, Arthur Conan",Warszawa,2024,eng,pol
"Kawakami, Mieko",Białystok,2023,jpn,pol
"Clarke, Arthur C.",Poznań,2023,eng,pol
"Rushdie, Salman",Poznań,2023,eng,pol
"Dickens, Charles",Poznań,2023,eng,pol
"Kingsolver, Barbara",Poznań,2023,eng,pol
"Brubaker, Ed",Warszawa,2023,eng,pol
"Spencer, Nick",Warszawa,2023,eng,pol
"Martínez, Layla",Kraków,2024,spa,pol
"[scenariusz: Goupil, Goupil & Kainzow",Szczecin,2016,fre,pol
"Dufaux, Jean",Iława,2023,fre,pol
"Bruckner, Winfried",Firenze,2022,ger,ita
"Kelly, Jacqueline",Warszawa,2021,eng,pol
"Theorin, Johan",Wołowiec,2015,swe,pol
"Guillory, Jasmine",Poznań,2023,eng,
"Sommer-Bodenburg, Angela",Piaseczno,2023,ger,
"Sommer-Bodenburg, Angela",Piaseczno,2023,ger,
"Orliński, Wojciech",Madrid,2021,pol,spa
"Tokarczuk, Olga",Paris,2021,pol,fre
"Lim, Elizabeth",Poznań,2021,eng,pol
scenariusz Jim Starlin,Warszawa,2021,eng,pol
"Ginzburg, Carlo",Gdańsk,2023,ita,pol
"Wood, Charlotte",Warszawa,2021,eng,pol
"Desbordes, Astrid",Warszawa,2023,fre,pol
"Chomycz, Mykoła",Lublin,2023,rus,pol
"Ware, Ruth",Poznań,2022,eng,pol
"Admont, Shelley",Toronto,2021,eng,pol
"Admont, Shelley",Toronto,2020,eng,eng
"Lipińska, Blanka",Praha,2022,pol,cze
"Escandell, Victor",Katowice,2023,spa,pol
"Ebert, Sabine",Katowice,2016,ger,pol
"Maeterlinck, Maurice",Warszawa,2023,fre,pol
"Bourne, Holly",Warszawa,2018,eng,pol
"Rucka, Greg",Warszawa,2022,eng,pol
"Grzędowicz, Jarosław",Moskva,2021,pol,rus
"Grzędowicz, Jarosław",Moskva,2021,pol,rus
"Piekara, Jacek",Moskva,2021,pol,rus
"Downing, Samantha",Kraków,2020,,
"Irie, Aki",Warszawa,,jpn,pol
"Cawthon, Scott",Łódź,2021,eng,pol
"Lind, Åsa",Poznań,2022,swe,pol
"Bergström, Gunilla",Poznań,2022,swe,pol
"Martin Widmark, Helena Willis",Poznań,2022,swe,pol
"Widmark, Martin",Poznań,2022,swe,pol
"Mayuzuki, Jun",Warszawa,,jpn,pol
"Yamazaki, Kore",Warszawa,2021,jpn,pol
"Widmark, Martin",Poznań,2020,swe,pol
"Widmark, Martin",Poznań,2013,swe,pol
"Hancock, Anne Mette",Białystok,2021,dan,pol
[redakcja i tłumaczenie: Karolina Tchórzewska].,Macierzysz,2021,,pol
[przekład: Barbara Supeł].,Warszawa,2021,eng,pol
"Orwell, George",Wrocław,2021,eng,
"Tell, Anna",Katowice,2021,swe,
"Jan Lechicki, Maciej Jóźwiak.",Kielce,2022,ger,pol
"Michaelides, Alex",Warszawa,2024,eng,pol
"Byrne, John",Warszawa,2024,eng,pol
"Wähä, Nina",Poznań,2022,swe,pol
"Pratchett, Terry",Warszawa,2022,eng,pol
"Pratchett, Terry",Warszawa,2022,eng,pol
"Schmitt, Éric-Emmanuel",Poznań,2022,fre,pol
"Webb, Holly",Warszawa,2022,eng,pol
"Kent, Gabrielle",Warszawa,2016,eng,pol
AidaIro,Warszawa,2023,jpn,pol
AidaIro,Warszawa,2021,jpn,pol
"Matsumoto, Naoya",Warszawa,,jpn,pol
"Matsumoto, Naoya",Warszawa,,jpn,pol
"Matsumoto, Naoya",Warszawa,2021,jpn,pol
"Ishida, Sui",Warszawa,2023,jpn,pol
"Roberts, Nora",Warszawa,2023,eng,pol
"Piwkowska, Anna",Sankt-Peterburg,2021,pol,rus
"Lipińska, Blanka",London,2021,pol,eng
"Ennis, Garth",Warszawa,2020,eng,pol
"Wechterowicz, Przemysław",Beijing,2022,pol,chi
"Różycki, Tomasz",Ljubljana,2022,pol,slv
"Boglar, Krystyna",Ljubljana,2022,pol,slv
"Sienkiewicz, Henryk",,2022,pol,srp
"Bailey, Ella",Warszawa,2021,eng,pol
"Strękowska-Zaremba, Małgorzata",Wrocław,2022,,ukr
"Asimov, Isaac",Poznań,2021,eng,pol
"Leon, Donna",Warszawa,2024,eng,pol
"Leon, Donna",Warszawa,2024,eng,pol
"Segiet, Eliza",,2021,pol,pol
"Anderson, Sophie",Białystok,2021,eng,pol
"Karila, Juhani",Gdańsk,2021,fin,pol
"Gerritsen, Tess",Warszawa,2013,eng,pol
"March, Meghan",Gliwice,2021,eng,pol
"Liese, Chloe",Poznań,2024,eng,pol
"Korbut, Dorota",Gdynia,2021,pol,pol
"Kinney, Jeff",Warszawa,2023,eng,pol
"Sienkiewicz, Henryk",,2018,pol,eng
"[tekst] Roderick Gordon, Brian Williams",Warszawa,2022,eng,pol
"Harris, Robert",Warszawa,2023,eng,pol
"Wren, Rosalee",Ożarów Mazowiecki,2023,eng,pol
"Tokarczuk, Olga",,2018,pol,eng
"Chabior, Emilia",Szczecin,2024,pol,eng
"Garthwaite, Annie",Warszawa,2023,eng,pol
"Kossakowska, Maja Lidia",Kiev,2021,pol,ukr
"Sienkiewicz, Henryk",Harkìv,2021,pol,ukr
"Dickens, Charles",Warszawa,2021,eng,pol
"Dickens, Charles",Warszawa,2021,eng,pol
"Szymiczkowa, Maryla",,2022,pol,fre
"Paszkiewicz, Anna",Barcelona,,pol,spa
"Ibarrola, Begoña",Warszawa,2021,spa,pol
"Franco, Lucia",Białystok,2023,eng,pol
"Ayroles, Alain",Warszawa,2021,fre,pol
"Goscinny, René",Kraków,2021,fre,pol
"O'Roark, Elizabeth",Białystok,2023,,
"DiCamillo, Kate",Warszawa,2023,eng,pol
"Alex, Joe",Luxembourg,2023,pol,eng
"Knedler, Magdalena",Praha,2022,pol,cze
"Inudo, Chie",Warszawa,,jpn,pol
"Clavell, James",Kraków,2023,eng,
"Suzumaru, Minta",Warszawa,2022,jpn,pol
"Todd, Anna",Kraków,2022,eng,pol
"Lynn, K. C.",Oświęcim,2022,eng,pol
"scenariusz Paul Tobin, Borys Pugacz-Muraszkiewicz, Karolina Stachyra",Warszawa,2022,eng,pol
"Mielech, Agnieszka",L'vìv,2022,pol,ukr
"[tłumaczenie: Jakub Syty, Robert Lipski, Łukasz Czajka].",Łódź,2020,eng,pol
"Scarborough, Elizabeth Ann",Poznań,2022,eng,pol
"tekst Chris Metzen, Matt Burns i Robert Brooks, [dodatkowy tekst Alex Afrasiabi, Christie Golden, Jeff Grubb, Richard A. Knaak, Dave Kosak, Micky Neilson, Bill Roper, Aaron S. Rosenberg, James Waugh]",Kraków,2020,eng,pol
"Glynn, Connie",Kraków,2021,eng,pol
"Brahina, Olha",Sejny,2022,ukr,ukr
"Oseman, Alice",Warszawa,2022,eng,pol
"Akutami, Gege",Warszawa,2022,jpn,pol
"Czerwiński, Maciej",Zagreb,2020,pol,hrv
Nanao,Warszawa,,jpn,pol
"Sager, Riley",Białystok,2022,eng,pol
"Breene, K. F.",Poznań,2021,eng,pol
"Sparks, Nicholas",Warszawa,2021,eng,pol
"Bellis, Margaret",Wrocław,2021,pol,eng
"Rosiński, Grzegorz",Warszawa,2021,fre,pol
"Kirkman, Robert",Kraków,2015,eng,pol
"Jodorowsky, Alejandro",Łódź,2021,fre,pol
"Maas, Sarah J.",Warszawa,2023,eng,pol
"Harris, Thomas",Warszawa,2015,eng,pol
"Jarry, Nicolas",Warszawa,2024,fre,pol
"Coben, Harlan",Warszawa,2021,eng,pol
"McCullers, Carson",Wołowiec,2023,eng,pol
"Belinkov, Arkadij Viktorovič",Warszawa,2021,rus,pol
"Palacio, R. J.",Warszawa,2020,eng,pol
"Timberlake, Amy",Warszawa,2022,eng,pol
"Taylor, Tom",Warszawa,2024,eng,pol
"Kerr, Judith",Warszawa,2022,eng,pol
"Hemingway, Ernest",Warszawa,2023,eng,pol
"Lipińska, Blanka",,2023,pol,slv
"Małkowski, Tomasz",Ljubljana,2023,pol,slv
"Sager, Riley",Białystok,2022,eng,pol
"Wiśniewski-Snerg, Adam",London,2021,pol,eng
"Wiklik, Cezary",Jelenia Góra,2022,pol,pol
"Twardoch, Szczepan",Hamburg,,pol,ger
"Montgomery, Lucy Maud",Warszawa,2022,eng,pol
"Ungerer, Tomi",Wrocław,2014,eng,pol
"Coben, Harlan",Warszawa,2024,eng,pol
"Gellert, Dina",Poznań,2024,dan,pol
[tłumaczenie: Robert Lipski,Łódź,2021,eng,pol
[tłumaczenie: Robert Lipski,Łódź,2021,eng,pol
"Montgomery, Lucy Maud",Warszawa,2022,eng,pol
"Tolkien, J. R. R.",Poznań,2022,eng,pol
"Montgomery, Lucy Maud",Warszawa,2022,eng,pol
"[scenariusz i rysunki:] Eiichi Shimizu, Tomohiro Shimoguchi",Warszawa,2024,jpn,pol
"Panasiuk, Łesyk",Sejny,2023,ukr,ukr
"Jakymczuk, Lubow",Sejny,2023,ukr,ukr
"Lasenby, Brian",Katowice,2021,eng,pol
"Robb, Bruce",Katowice,2021,eng,pol
"MacKenzie, Emily",Kielce,2021,eng,pol
"Maruszczak, Marta",Bratislava,2021,pol,slo
"Kusanagi, Mizuho",Warszawa,2022,jpn,pol
"Ron, Mercedes",Warszawa,2022,spa,pol
"Beaton, M. C.",Warszawa,2022,eng,pol
"Jennings, Sharon",Katowice,2023,eng,pol
"Sękowski, Józef Julian",Kraków,2021,rus,pol
"Tokarczuk, Olga",Barcelona,,pol,spa
"Komoto, Hajime",Warszawa,,jpn,pol
Somato,Warszawa,,jpn,pol
"Tokarczuk, Olga",Lisboa,2023,pol,por
"Sapkowski, Andrzej",,2022,pol,kor
"Claire Kingsley, Lucy Score",Gliwice,2024,eng,pol
"Szczypiorski, Andrzej",Paris,,pol,fre
"Kapuściński, Ryszard",Paris,2022,pol,fre
"Kubašta, Vojtěch",Warszawa,2023,cze,pol
"Lake, Keri",Białystok,2023,eng,pol
"Fiorina, Nicole",Białystok,2023,eng,pol
"Flynn, Avery",Białystok,2023,eng,pol
"Słowacki, Juliusz",Paris,2016,pol,fre
"Krasicki, Ignacy",Paris,2018,pol,fre
"Skarbek, Fryderyk",Paris,2013,pol,fre
"Sebald, W. G.",Wrocław,2023,ger,pol
"Piccinno, Claudia",Inowrocław,2022,ita,ita
"Sienkiewicz, Henryk",Bratislava,2022,pol,slo
"Crossan, Sarah",Kraków,2022,eng,pol
"Martinez, Aly",Gołuski,2021,eng,pol
"Varela, Nina",Warszawa,2024,eng,pol
"Santiago, Mikel",Warszawa,2021,spa,pol
"Winters, Willow",Gołuski,2021,eng,pol
"Graham, Lynne",Warszawa,2022,eng,pol
"Bonam-Young, Hannah",Warszawa,2024,eng,pol
"Hunter, Erin",Poznań,2023,eng,pol
"Unge, Christian",Warszawa,2020,swe,pol
scenariusz Fred van Lente i Cullen Bunn,Warszawa,2023,eng,pol
"Hudson, Katy",Warszawa,2021,eng,pol
"Riley, Lucinda",Warszawa,2023,eng,pol
"Rentta, Sharon",Warszawa,2023,eng,pol
"Cleeves, Ann",Warszawa,2023,eng,pol
"Cussler, Clive",Warszawa,2023,eng,pol
"Prus, Bolesław",,2017,pol,eng
"Różewicz, Tadeusz",Sankt-Peterburg,2017,pol,rus
"Falch, Malin",Warszawa,2022,eng,pol
"Läckberg, Camilla",Warszawa,2019,swe,pol
"Zhang, Pam C.",Warszawa,2021,eng,pol
"Blalock, Georgie",Białystok,2022,eng,pol
"Läckberg, Camilla",Warszawa,2018,,
"Tokarczuk, Olga",Barcelona,,pol,spa
"Lebioda, Dariusz Tomasz",Zalaegerszeg,2020,pol,hun
"Mickiewicz, Adam",Paris,2021,pol,fre
"Kiš-Juzbaša, Daliborka",Poznań,2023,srp,pol
"Reymont, Władysław Stanisław",,2021,pol,fre
"Paris, B. A.",Warszawa,2021,eng,pol
"Herbert, Frank",Poznań,,eng,pol
"Carter, Chris",Katowice,2023,eng,pol
"Davies, James",Warszawa,2023,eng,pol
"Lee, Fonda",Warszawa,2023,eng,pol
"Sapkowski, Andrzej",Paris,,pol,fre
"Różewicz, Tadeusz",,,ger,per
"Shapiro, Lamed",Lublin,2023,yid,pol
"Mickiewicz, Adam",Paderborn,2023,pol,eng
"Sapkowski, Andrzej",Moskva,2018,pol,rus
"Pałasz, Marcin",Harkìv,2019,pol,ukr
"Genefort, Laurent",Nieledew,2023,fre,pol
"Pleśniarowicz, Jerzy",Kraków,2021,cze,pol
[wybór i opracowanie Ewa Skarżyńska].,Sandomierz,2022,dan,pol
"Mickiewicz, Adam",,2021,ger,
[tłumaczenie: Ewa Tarnowska],Ożarów Mazowiecki,2023,eng,pol
"Kołomycka, Berenika","Chicago, IL",2022,pol,eng
"Tokarczuk, Olga",Vilnius,2021,pol,lit
"Okubashi, Mutsumi",Gołuski,,jpn,pol
"Gabriel, Marius",Białystok,2020,eng,pol
"Vestly, Anne-Catharina",Warszawa,2020,nor,pol
"Cameron, W. Bruce",Białystok,2020,eng,pol
"Dabos, Christelle",Warszawa,2020,fre,pol
"James Tynion IV, Matthew Rosenberg scenariusz",Warszawa,2023,eng,pol
"Żadan, Serhij",Ząbki,2023,ukr,bel
"Douglas, Penelope",Oświęcim,2023,eng,pol
"Oh, Axie",Gliwice,2024,eng,pol
"Vondruška, Vlastimil",Piaseczno,2023,cze,
"Erlandsson, Karin",Warszawa,2021,swe,pol
"Hickman, Jonathan",Warszawa,2021,eng,pol
"scenariusz Ed Brubaker, Peter David, Mike Carey, Craig Kyle i Christopher Yost",Warszawa,2021,eng,pol
"Skibiński, Michał",,2020,pol,kor
"Simons, Paullina",Warszawa,2023,eng,pol
"Elsberg, Marc",Warszawa,2021,ger,pol
Piotr Wilkoń und Józef Wilkoń,Zürich,2021,pol,ger
"Peeters, Frederik",Warszawa,2021,fre,pol
[scenariusz: Jean-Claude Forest,Łódź,2021,fre,pol
"Christie, Agatha",Poznań,2018,eng,pol
"Christie, Agatha",Poznań,2022,eng,pol
"Christie, Agatha",Wrocław,2015,eng,pol
"Nesbø, Jo",Poznań,2023,nor,pol
"Masterton, Graham",Poznań,2021,eng,pol
"Nesbø, Jo",Poznań,2021,nor,pol
AidaIro,Warszawa,2022,jpn,pol
"Nesbø, Jo",Poznań,2023,nor,pol
"Läckberg, Camilla",Warszawa,2023,swe,pol
"Minier, Bernard",Poznań,2021,fre,pol
"Webb, Holly",Warszawa,2022,eng,pol
"Matsumoto, Naoya",Warszawa,2022,jpn,pol
"Kayode, Femi",Poznań,2023,eng,pol
"Dostojewski, Fiodor",Katowice,2023,rus,
"Pratchett, Terry",Warszawa,2022,eng,pol
"Rankin, Ian",Warszawa,2022,eng,pol
"Roberts, Keith",Warszawa,2022,eng,pol
"Ballingrud, Nathan",Warszawa,2023,eng,pol
"Gerritsen, Tess",Warszawa,2022,eng,pol
"Lipińska, Blanka",,2021,pol,eng
"Lidija Rezoničnik, Seweryn Kuśmierczyk",Warszawa,2023,slv,eng
"Vega, Lope de",Gdańsk,2008,spa,pol
"Grant, Pippa",Poznań,2022,eng,pol
"Bohlmann, Sabine",Warszawa,2022,ger,pol
"Kulikov, Roman Vladimirovič (1976- ).",Lublin,2020,rus,pol
"Kaku, Yuji",Mierzyn,,jpn,pol
"Kaku, Yuji",Mierzyn,2020,jpn,pol
"Bourgeois, Paulette",Katowice,2021,eng,pol
"Daneshvari, Gitty",Wrocław,2014,eng,pol
"Jennings, Sharon",Katowice,2021,eng,pol
"Brett, Peter V.",Lublin,2022,eng,pol
"Koechlin, Sophie",Ożarów Mazowiecki,2021,fre,pol
"Jennings, Sharon",Katowice,2021,eng,pol
"Butschkow, Ralf",Poznań,2023,ger,pol
"Cobble, A. C.",Lublin,2023,eng,pol
"Kinnear, Nicola",Warszawa,2021,eng,pol
"Ben Jelloun, Tahar",Kraków,2023,fre,pol
"Andreae, Giles",Warszawa,2021,eng,pol
"Devana, Nevidal",Kraków,2023,rus,pol
"Kaku, Yuji",Mierzyn,,jpn,pol
"Matsumoto, Naoya",Warszawa,2023,jpn,pol
"Bertholet, Claire",Ożarów Mazowiecki,2021,fre,pol
"Frid, Johanna",Piaseczno,2023,swe,
"Dazai, Osamu",Warszawa,2022,jpn,pol
"Multhaupt, Hermann",,2022,ger,pol
"Tashjian, Janet",Warszawa,2023,eng,pol
"Hatt, Jemma",Warszawa,2023,eng,pol
"Eco, Umberto",Warszawa,2024,ita,pol
"Saint-Exupéry, Antoine de",Ostrołęka,2022,fre,pol
"Tokarczuk, Olga",,2021,pol,eng
"Grynberg, Mikołaj",New York,2021,pol,eng
"Bachtin, Michaił",Poznań,2021,,
"Bednarek, Adrian",Praha,2024,pol,cze
"Lukens, F. T.",Kraków,2024,eng,pol
"Debertolis, Nadine",Warszawa,2024,fre,pol
"Minier, Bernard",Poznań,2024,fre,pol
Morris,Warszawa,2022,fre,pol
"Bennett, Sophia",Białystok,2024,eng,pol
"Kuzniecowa, Eugenia",Kraków,2024,ukr,pol
"Sketcher, Somme",Oświęcim,2024,eng,pol
"Lagercrantz, David",Warszawa,2017,swe,pol
"Moore-Mallinos, Jennifer",Kielce,2021,eng,pol
"McIntire, Emily",Poznań,2023,eng,pol
"Kling, Marc-Uwe",Katowice,2022,ger,pol
"Sheridan, Mia",Warszawa,2024,eng,pol
"Cleeves, Ann",Poznań,2023,eng,pol
"Hardt, Helen",Warszawa,2024,eng,pol
"Martin, George R. R.",Poznań,2022,eng,pol
[tłumaczenie: Beata Żmichowska].,Warszawa,2021,,pol
"Murphy, Monica",Oświęcim,2023,eng,pol
"Cazenove, Christophe",Warszawa,2023,fre,pol
"Hallberg, Lin",Warszawa,2018,swe,pol
"Messenger, Shannon",Kraków,2021,eng,pol
"Lovecraft, Howard Phillips",Poznań,2021,eng,pol
"Haig, Matt",Poznań,2021,eng,pol
,Warszawa,2021,,ger
"Guibert, Emmanuel",Gdańsk,2020,fre,pol
"Kawahara, Reki",Gołuski,,jpn,pol
"Serbource, Christine",Novara,2021,,pol
Jacek Rewerski & Christophe Mahieu,Warszawa,2024,fre,pol
"Claremont, Chris",Warszawa,2023,eng,pol
"Procházková, Iva",Wrocław,2017,cze,pol
"Bocheński, Jacek",,2014,pol,ukr
"Yarros, Rebecca",Łódź,2024,eng,pol
"Różewicz, Tadeusz",,2014,pol,kor
Yslaire,Warszawa,2022,fre,pol
"Toussaint, Kid",Warszawa,2022,fre,pol
"Czapski, Józef",L'vìv,2022,pol,ukr
"Sapkowski, Andrzej",München,2020,pol,ger
"Sapkowski, Andrzej",München,2019,pol,ger
"Reed, Ava",Warszawa,2021,ger,pol
"Sapkowski, Andrzej",München,,pol,ger
"Ferrero, Bruno",Warszawa,2021,ita,pol
"McDonald, Megan",Warszawa,2021,eng,pol
"Webb, Holly",Warszawa,2021,eng,pol
scenariusz Falzar i Thierry Culliford,Warszawa,2021,fre,pol
"Schulz, Bruno",Moskva,2020,pol,rus
"Korczak, Janusz",Moskva,,pol,rus
"Lem, Stanisław",Moskva,,pol,rus
"Lem, Stanisław",Moskva,2021,pol,rus
"Lem, Stanisław",,2021,pol,chi
"Sevigny, Alisha",Piaseczno,2022,eng,pol
Jakub i Wilhelm Grimm,Wrocław,2021,ger,
"Sienkiewicz, Henryk",,2021,pol,chi
"Kraszewski, Józef Ignacy",Harkìv,2014,pol,rus
"Tokarczuk, Olga",,2021,pol,est
"Lem, Stanisław",Lisboa,2021,pol,por
"Andrzejewski, Jerzy",Mexico City,2021,pol,spa
"Łytwyn, Jarosława",Poznań,2023,ukr,pol
"Szymborska, Wisława",Johanneshov,2014,pol,swe
"Tokarczuk, Olga",Johanneshov,2019,pol,swe
"Saba, Umberto",Kraków,2023,ita,pol
"Sapkowski, Andrzej",München,2021,pol,ger
"Swift, Bella",Warszawa,2023,eng,pol
"Sanderson, Brandon",Warszawa,2023,eng,pol
"Kecir-Lepetit, Emmanuelle",Warszawa,2021,fre,pol
"Cavallone, Maria Cecilia",Barcelona,2018,ita,pol
"Szymiczkowa, Maryla",,2023,pol,fre
"Nury, Fabien",Katowice,2023,fre,pol
"Cavallone, Maria Cecilia",Barcelona,2018,ita,pol
"Lloret Blackburn, Víctor",Barcelona,2018,spa,pol
"Gerritsen, Tess",Warszawa,2022,eng,cze
"Ryrych, Katarzyna",,2021,pol,mon
"Mornštajnová, Alena",Wrocław,2019,cze,pol
"Hazelwood, Ali",Warszawa,2023,eng,pol
"Schoenwald, Sophie",Wrocław,2022,ger,pol
Jarvin,Warszawa,2022,fre,pol
"Musiał, Grzegorz",Poznań,2022,,pol
"Karczewski, Jan",Hamburg,2022,pol,ger
"Bator, Joanna",Berlin,2022,pol,ger
"Beaumont, Émilie",Ożarów Mazowiecki,2020,fre,pol
"Dostojewski, Fiodor",Warszawa,2023,rus,pol
"Osborne, Mary Pope",Warszawa,2019,eng,pol
"West, Jacqueline",Kraków,2023,eng,pol
"Cosby, S. A.",Warszawa,2024,eng,pol
[aut. pomysłu Sanjay Dhiman,Ożarów Mazowiecki,2015,,pol
